,id,original_description,code,nearest_level1_code,original_code_system,article,parent_ui
306,307,Gangrena  (785.4) + diabetes con trastornos circulatorios periféricos (250.7),250.7,250,ICD9,Caminal et al (2001),249-259.99
307,308,Hipopotasemia ,276.8,276,ICD9,Caminal et al (2001),270-279.99
308,309,Disminución de volumen/deshidratación ,276.5,276,ICD9,Caminal et al (2001),270-279.99
309,310,Meningitis por hemófilo,320.0,320,ICD9,Caminal et al (2001),320-326.99
310,311,Fiebre reumática ,390,390,ICD9,Caminal et al (2001),390-392.99
311,312,Fiebre reumática ,391,391,ICD9,Caminal et al (2001),390-392.99
312,313,Hipertensión esencial maligna ,401.0,401,ICD9,Caminal et al (2001),401-405.99
313,314,Enfermedad cardíaca hipertensiva maligna con IC ,402.01,402,ICD9,Caminal et al (2001),401-405.99
314,315,Enfermedad cardíaca hipertensiva benigna con IC ,402.11,402,ICD9,Caminal et al (2001),401-405.99
315,316,Enfermedad cardíaca hipertensiva sin especificar con IC ,402.91,402,ICD9,Caminal et al (2001),401-405.99
316,317,Enfermedad renal hipertensiva maligna,403.0,403,ICD9,Caminal et al (2001),401-405.99
317,318,Enfermedad cardíaca y renal hipertensiva maligna ,404.0,404,ICD9,Caminal et al (2001),401-405.99
318,319,Hipertensión secundaria maligna,405.0,405,ICD9,Caminal et al (2001),401-405.99
319,320,Enfermedad cardíaca isquémica,410,410,ICD9,Caminal et al (2001),410-414.99
320,321,Enfermedad cardíaca isquémica,411,411,ICD9,Caminal et al (2001),410-414.99
321,322,Enfermedad cardíaca isquémica,412,412,ICD9,Caminal et al (2001),410-414.99
322,323,Enfermedad cardíaca isquémica,413,413,ICD9,Caminal et al (2001),410-414.99
323,324,Enfermedad cardíaca isquémica,414,414,ICD9,Caminal et al (2001),410-414.99
324,325,Fallo cardíaco ,428,428,ICD9,Caminal et al (2001),420-429.99
325,326,Enfermedad cerebrovascular,430,430,ICD9,Caminal et al (2001),430-438.99
326,327,Enfermedad cerebrovascular,431,431,ICD9,Caminal et al (2001),430-438.99
327,328,Enfermedad cerebrovascular,436,436,ICD9,Caminal et al (2001),430-438.99
328,329,Enfermedad cerebrovascular,437.2,437,ICD9,Caminal et al (2001),430-438.99
329,330,Absceso peritonsilar,475,475,ICD9,Caminal et al (2001),470-478.99
330,331,Neumonía debida a hemófilo ,482.2,482,ICD9,Caminal et al (2001),480-488.99
331,332,Neumonía debida a estreptococos ,482.3,482,ICD9,Caminal et al (2001),480-488.99
332,333,Neumonía debida a otro organismo especificado ,483,483,ICD9,Caminal et al (2001),480-488.99
333,334,"Bronconeumonía/neumonía, por organismo sin especificar ",485,485,ICD9,Caminal et al (2001),480-488.99
334,335,"Bronconeumonía/neumonía, por organismo sin especificar ",486,486,ICD9,Caminal et al (2001),480-488.99
335,336,"Edema agudo de pulmón, sin especificar ",518.4,518,ICD9,Caminal et al (2001),510-519.99
336,337,"Úlcera gástrica aguda o crónica o no especificada, con hemorragia o con hemorragia y perforación ",531.0,531,ICD9,Caminal et al (2001),530-539.99
337,338,"Úlcera gástrica aguda o crónica o no especificada, con hemorragia o con hemorragia y perforación ",531.2,531,ICD9,Caminal et al (2001),530-539.99
338,339,"Úlcera gástrica aguda o crónica o no especificada, con hemorragia o con hemorragia y perforación ",531.4,531,ICD9,Caminal et al (2001),530-539.99
339,340,"Úlcera gástrica aguda o crónica o no especificada, con hemorragia o con hemorragia y perforación ",531.6,531,ICD9,Caminal et al (2001),530-539.99
340,341,"Úlcera duodenal aguda o crónica o no especificada, con hemorragia o con hemorragia y perforación",532.0,532,ICD9,Caminal et al (2001),530-539.99
341,342,"Úlcera duodenal aguda o crónica o no especificada, con hemorragia o con hemorragia y perforación",532.2,532,ICD9,Caminal et al (2001),530-539.99
342,343,"Úlcera duodenal aguda o crónica o no especificada, con hemorragia o con hemorragia y perforación",532.4,532,ICD9,Caminal et al (2001),530-539.99
343,344,"Úlcera duodenal aguda o crónica o no especificada, con hemorragia o con hemorragia y perforación",532.6,532,ICD9,Caminal et al (2001),530-539.99
344,345,"Úlcera péptica, sitio no especificado, aguda o crónica o no especificada, con hemorragia o con hemorragia y perforación ",533.0,533,ICD9,Caminal et al (2001),530-539.99
345,346,"Úlcera péptica, sitio no especificado, aguda o crónica o no especificada, con hemorragia o con hemorragia y perforación ",533.2,533,ICD9,Caminal et al (2001),530-539.99
346,347,"Úlcera péptica, sitio no especificado, aguda o crónica o no especificada, con hemorragia o con hemorragia y perforación ",533.4,533,ICD9,Caminal et al (2001),530-539.99
347,348,"Úlcera péptica, sitio no especificado, aguda o crónica o no especificada, con hemorragia o con hemorragia y perforación ",533.6,533,ICD9,Caminal et al (2001),530-539.99
348,349,Apendicitis aguda con peritonitis generalizada,540.0,540,ICD9,Caminal et al (2001),540-543.99
349,350,Apendicitis aguda con absceso peritoneal,540.1,540,ICD9,Caminal et al (2001),540-543.99
350,351,Pielonefritis aguda,590.1,590,ICD9,Caminal et al (2001),590-599.99
351,352,"Enfermedad inflamatoria de ovario, trompa de Falopio, tejido celular pélvico y peritoneo",614,614,ICD9,Caminal et al (2001),614-616.99
352,353,Viral infection unspec,79.9,79,ICD9,Sanderson et al (2000),76-84.99
353,354,Viralwarts,78.1,78,ICD9,Sanderson et al (2000),76-84.99
354,355,Diabetes (insulin-dependent),250.0,250,ICD9,Sanderson et al (2000),249-259.99
355,356,Hypoglycaemia unspec,251.2,251,ICD9,Sanderson et al (2000),249-259.99
356,357,Diabetes (non-insulin·dependent),250.0,250,ICD9,Sanderson et al (2000),249-259.99
357,358,Iron deficiency anemias,280,280,ICD9,Sanderson et al (2000),280-289.99
358,359,Epilepsy unspec,345.9,345,ICD9,Sanderson et al (2000),340-349.99
359,360,Asthma extrinsic,493.0,493,ICD9,Sanderson et al (2000),490-496.99
360,361,Asthma unspec,493.9,493,ICD9,Sanderson et al (2000),490-496.99
361,362,Dyspepsia and other stomach function disorders,536.8,536,ICD9,Sanderson et al (2000),530-539.99
362,363,Gastric ulcer unspec w/o haemorrhage or perforation,531.9,531,ICD9,Sanderson et al (2000),530-539.99
363,364,Gastritis and duodenitis unspec,535.5 ,535,ICD9,Sanderson et al (2000),530-539.99
364,365,Constipation,564.0,564,ICD9,Sanderson et al (2000),560-569.99
365,366,"Dysplasia, mucous pclyp, erosion of cervix",602.0,602,ICD9,Sanderson et al (2000),600-608.99
366,367,"Dysplasia, mucous pclyp, erosion of cervix",602.1,602,ICD9,Sanderson et al (2000),600-608.99
367,368,"Dysplasia, mucous pclyp, erosion of cervix",602.7,602,ICD9,Sanderson et al (2000),600-608.99
368,369,"Cellulitisof face, etc",682.0,682,ICD9,Sanderson et al (2000),680-686.99
369,370,Sebaceous cyst,706.2,706,ICD9,Sanderson et al (2000),700-709.99
370,371,Lower limb ulcer except decubitus,707.1,707,ICD9,Sanderson et al (2000),700-709.99
371,372,Ingrowing toenail,703.0,703,ICD9,Sanderson et al (2000),700-709.99
372,373,"Ganglion and cyst of synovium, tendon and bursa",727.4,727,ICD9,Sanderson et al (2000),725-729.99
373,374,"Fracture of radius & ulna (lower,closed)",813.4,813,ICD9,Sanderson et al (2000),810-819.99
374,375,Tuberculosis,11,11,ICD9,Caminal et al (2004),08-16.99
375,376,Tuberculosis,11,11,ICD9,Caminal et al (2004),08-16.99
376,377,Tuberculosis,12,12,ICD9,Caminal et al (2004),08-16.99
377,378,Tuberculosis,13,13,ICD9,Caminal et al (2004),08-16.99
378,379,Tuberculosis,14,14,ICD9,Caminal et al (2004),08-16.99
379,380,Tuberculosis,15,15,ICD9,Caminal et al (2004),08-16.99
380,381,Tuberculosis,16,16,ICD9,Caminal et al (2004),08-16.99
381,382,Tuberculosis,17,17,ICD9,Caminal et al (2004),17-17.99
382,383,Immunization and preventable infectious diseases,18,18,ICD9,Caminal et al (2004),18-20.99
383,384,Immunization and preventable infectious diseases,37,37,ICD9,Caminal et al (2004),35-39.99
384,385,Immunization and preventable infectious diseases,45,45,ICD9,Caminal et al (2004),42-54.99
385,386,Congenital syphilis,90,90,ICD9,Caminal et al (2004),87-99.99
386,387,Diabetes mellitus,250.0,250,ICD9,Caminal et al (2004),249-259.99
387,388,Diabetes mellitus,250.1,250,ICD9,Caminal et al (2004),249-259.99
388,389,Diabetes mellitus,250.2,250,ICD9,Caminal et al (2004),249-259.99
389,390,Diabetes mellitus,250.3,250,ICD9,Caminal et al (2004),249-259.99
390,391,Diabetes mellitus,250.7,250,ICD9,Caminal et al (2004),249-259.99
391,392,Diabetes mellitus,250.8,250,ICD9,Caminal et al (2004),249-259.99
392,393,Diabetes mellitus,251.0,251,ICD9,Caminal et al (2004),249-259.99
393,394,Diabetes mellitus,785.4,785,ICD9,Caminal et al (2004),780-789.99
394,395,Diabetes mellitus,250.7,250,ICD9,Caminal et al (2004),249-259.99
395,396,Disorders of hydro-electrolyte metabolism,276.5,276,ICD9,Caminal et al (2004),270-279.99
396,397,Disorders of hydro-electrolyte metabolism,276.8,276,ICD9,Caminal et al (2004),270-279.99
397,398,Iron deficiency anemias,280,280,ICD9,Caminal et al (2004),280-289.99
398,399,Gangrene + Diabetes with peripheral circulatory disorders,320.0,320,ICD9,Caminal et al (2004),320-326.99
399,400,Convulsions,345,345,ICD9,Caminal et al (2004),340-349.99
400,401,Diseases of the upper respiratory tract,382,382,ICD9,Caminal et al (2004),380-389.99
401,402,Immunization and preventable infectious diseases,390,390,ICD9,Caminal et al (2004),390-392.99
402,403,Immunization and preventable infectious diseases,391,391,ICD9,Caminal et al (2004),390-392.99
403,404,Hypertensive heart disease,401,401,ICD9,Caminal et al (2004),401-405.99
404,405,Hypertensive heart disease,402.00,402,ICD9,Caminal et al (2004),401-405.99
405,406,Hypertensive heart disease,402.10,402,ICD9,Caminal et al (2004),401-405.99
406,407,Hypertensive heart disease,403,403,ICD9,Caminal et al (2004),401-405.99
407,408,Hypertensive heart disease,404,404,ICD9,Caminal et al (2004),401-405.99
408,409,Hypertensive heart disease,405,405,ICD9,Caminal et al (2004),401-405.99
409,410,Heart failure,402.01,402,ICD9,Caminal et al (2004),401-405.99
410,411,Heart failure,402.11,402,ICD9,Caminal et al (2004),401-405.99
411,412,Heart failure,402.91,402,ICD9,Caminal et al (2004),401-405.99
412,413,Hypertensive heart disease,410,410,ICD9,Caminal et al (2004),410-414.99
413,414,Hypertensive heart disease,411,411,ICD9,Caminal et al (2004),410-414.99
414,415,Hypertensive heart disease,412,412,ICD9,Caminal et al (2004),410-414.99
415,416,Hypertensive heart disease,413,413,ICD9,Caminal et al (2004),410-414.99
416,417,Hypertensive heart disease,414,414,ICD9,Caminal et al (2004),410-414.99
417,418,Heart failure,428,428,ICD9,Caminal et al (2004),420-429.99
418,419,Hypertensive heart disease,430,430,ICD9,Caminal et al (2004),430-438.99
419,420,Hypertensive heart disease,431,431,ICD9,Caminal et al (2004),430-438.99
420,421,Hypertensive heart disease,436,436,ICD9,Caminal et al (2004),430-438.99
421,422,Hypertensive heart disease,437.2,437,ICD9,Caminal et al (2004),430-438.99
422,423,Diseases of the upper respiratory tract,463,463,ICD9,Caminal et al (2004),460-466.99
423,424,Diseases of the upper respiratory tract,465,465,ICD9,Caminal et al (2004),460-466.99
424,425,Diseases of the upper respiratory tract,475,475,ICD9,Caminal et al (2004),470-478.99
425,426,Pneumonia,481,481,ICD9,Caminal et al (2004),480-488.99
426,427,Pneumonia,482.2,482,ICD9,Caminal et al (2004),480-488.99
427,428,Pneumonia,482.3,482,ICD9,Caminal et al (2004),480-488.99
428,429,Pneumonia,482.9,482,ICD9,Caminal et al (2004),480-488.99
429,430,Pneumonia,483,483,ICD9,Caminal et al (2004),480-488.99
430,431,Pneumonia,485,485,ICD9,Caminal et al (2004),480-488.99
431,432,Pneumonia,486,486,ICD9,Caminal et al (2004),480-488.99
432,433,Bronchitis / Chronic obstructive pulmonary disease (COAD),466.0,466,ICD9,Caminal et al (2004),460-466.99
433,434,Bronchitis / Chronic obstructive pulmonary disease (COAD),490,490,ICD9,Caminal et al (2004),490-496.99
434,435,Bronchitis / Chronic obstructive pulmonary disease (COAD),491,491,ICD9,Caminal et al (2004),490-496.99
435,436,Bronchitis / Chronic obstructive pulmonary disease (COAD),492,492,ICD9,Caminal et al (2004),490-496.99
436,437,Bronchitis / Chronic obstructive pulmonary disease (COAD),494,494,ICD9,Caminal et al (2004),490-496.99
437,438,Bronchitis / Chronic obstructive pulmonary disease (COAD),496,496,ICD9,Caminal et al (2004),490-496.99
438,439,Asthma,493,493,ICD9,Caminal et al (2004),490-496.99
439,440,Heart failure,518.4,518,ICD9,Caminal et al (2004),510-519.99
440,441,Bleeding or perforating ulcer,531.0,531,ICD9,Caminal et al (2004),530-539.99
441,442,Bleeding or perforating ulcer,531.2,531,ICD9,Caminal et al (2004),530-539.99
442,443,Bleeding or perforating ulcer,531.4,531,ICD9,Caminal et al (2004),530-539.99
443,444,Bleeding or perforating ulcer,531.6,531,ICD9,Caminal et al (2004),530-539.99
444,445,Bleeding or perforating ulcer,532.0,532,ICD9,Caminal et al (2004),530-539.99
445,446,Bleeding or perforating ulcer,532.2,532,ICD9,Caminal et al (2004),530-539.99
446,447,Bleeding or perforating ulcer,532.4,532,ICD9,Caminal et al (2004),530-539.99
447,448,Bleeding or perforating ulcer,532.6,532,ICD9,Caminal et al (2004),530-539.99
448,449,Bleeding or perforating ulcer,533.0,533,ICD9,Caminal et al (2004),530-539.99
449,450,Bleeding or perforating ulcer,533.2,533,ICD9,Caminal et al (2004),530-539.99
450,451,Bleeding or perforating ulcer,533.4,533,ICD9,Caminal et al (2004),530-539.99
451,452,Bleeding or perforating ulcer,533.6,533,ICD9,Caminal et al (2004),530-539.99
452,453,Appendicitis with complication,540.0,540,ICD9,Caminal et al (2004),540-543.99
453,454,Appendicitis with complication,540.1,540,ICD9,Caminal et al (2004),540-543.99
454,455,Gastroenteritis,558.9,558,ICD9,Caminal et al (2004),555-558.99
455,456,Urinary tract infections,590.0,590,ICD9,Caminal et al (2004),590-599.99
456,457,Urinary tract infections,590.1,590,ICD9,Caminal et al (2004),590-599.99
457,458,Urinary tract infections,599.0,599,ICD9,Caminal et al (2004),590-599.99
458,459,Urinary tract infections,590.8,590,ICD9,Caminal et al (2004),590-599.99
459,460,Pelvic inflammatory disease,614,614,ICD9,Caminal et al (2004),614-616.99
460,461,Disease of the skin and subcutaneous tissue,681,681,ICD9,Caminal et al (2004),680-686.99
461,462,Disease of the skin and subcutaneous tissue,682,682,ICD9,Caminal et al (2004),680-686.99
462,463,Disease of the skin and subcutaneous tissue,683,683,ICD9,Caminal et al (2004),680-686.99
463,464,Disease of the skin and subcutaneous tissue,686,686,ICD9,Caminal et al (2004),680-686.99
464,465,Convulsions,780.3,780,ICD9,Caminal et al (2004),780-789.99
465,466,Gastroenteritis,A08.0,A08,ICD10,Jones et al (2018),A00-A09
466,467,Gastroenteritis,A08.1,A08,ICD10,Jones et al (2018),A00-A09
467,468,Gastroenteritis,A08.2,A08,ICD10,Jones et al (2018),A00-A09
468,469,Gastroenteritis,A08.3,A08,ICD10,Jones et al (2018),A00-A09
469,470,Gastroenteritis,A08.4,A08,ICD10,Jones et al (2018),A00-A09
470,471,Gastroenteritis,A08.5,A08,ICD10,Jones et al (2018),A00-A09
471,472,Gastroenteritis,A09.0,A09,ICD10,Jones et al (2018),A00-A09
472,473,Gastroenteritis,A09.9,A09,ICD10,Jones et al (2018),A00-A09
473,474,Volume depletion and other disorders of electrolyte and acid-base balance,E86,E86,ICD10,Jones et al (2018),E70-E88
474,475,Volume depletion and other disorders of electrolyte and acid-base balance,E87,E87,ICD10,Jones et al (2018),E70-E88
475,476,Physiological jaundice,P59.3,P59,ICD10,Jones et al (2018),P50-P61
476,477,Physiological jaundice,P59.9,P59,ICD10,Jones et al (2018),P50-P61
477,478,Feeding difficulties,P92.2,P92,ICD10,Jones et al (2018),P90-P96
478,479,Feeding difficulties,P92.3,P92,ICD10,Jones et al (2018),P90-P96
479,480,Feeding difficulties,P92.4,P92,ICD10,Jones et al (2018),P90-P96
480,481,Feeding difficulties,P92.5,P92,ICD10,Jones et al (2018),P90-P96
481,482,Feeding difficulties,P92.8,P92,ICD10,Jones et al (2018),P90-P96
482,483,Feeding difficulties,P92.9,P92,ICD10,Jones et al (2018),P90-P96
483,484,Physiological jaundice,R17,R17,ICD10,Jones et al (2018),R10-R19
484,485,Feeding difficulties,R63.3,R63,ICD10,Jones et al (2018),R50-R69
485,486,Physiological jaundice,S12.8,S12,ICD10,Jones et al (2018),S10-S19
486,487,Physiological jaundice,S12.9,S12,ICD10,Jones et al (2018),S10-S19
487,488,Diabetes Mellitus Type 2,E11,E11,ICD10,Bohnet-Joschko (2022),E08-E13
488,489,Volume depletion and other disorders of electrolyte and acid-base balance,E86,E86,ICD10,Bohnet-Joschko (2022),E70-E88
489,490,Volume depletion and other disorders of electrolyte and acid-base balance,E87,E87,ICD10,Bohnet-Joschko (2022),E70-E88
490,491,"Gastrointestinal ulcers and inflammation, esophageal reflux disease, functional bowel disorders, dysphagia",K08,K08,ICD10,Bohnet-Joschko (2022),K00-K14
491,492,"Gastrointestinal ulcers and inflammation, esophageal reflux disease, functional bowel disorders, dysphagia",K21,K21,ICD10,Bohnet-Joschko (2022),K20-K31
492,493,"Gastrointestinal ulcers and inflammation, esophageal reflux disease, functional bowel disorders, dysphagia",K25,K25,ICD10,Bohnet-Joschko (2022),K20-K31
493,494,"Gastrointestinal ulcers and inflammation, esophageal reflux disease, functional bowel disorders, dysphagia",K26,K26,ICD10,Bohnet-Joschko (2022),K20-K31
494,495,"Gastrointestinal ulcers and inflammation, esophageal reflux disease, functional bowel disorders, dysphagia",K29,K29,ICD10,Bohnet-Joschko (2022),K20-K31
495,496,"Gastrointestinal ulcers and inflammation, esophageal reflux disease, functional bowel disorders, dysphagia",K52,K52,ICD10,Bohnet-Joschko (2022),K50-K52
496,497,"Gastrointestinal ulcers and inflammation, esophageal reflux disease, functional bowel disorders, dysphagia",K57,K57,ICD10,Bohnet-Joschko (2022),K55-K64
497,498,"Gastrointestinal ulcers and inflammation, esophageal reflux disease, functional bowel disorders, dysphagia",K59,K59,ICD10,Bohnet-Joschko (2022),K55-K64
498,499,"Gastrointestinal ulcers and inflammation, esophageal reflux disease, functional bowel disorders, dysphagia",K62,K62,ICD10,Bohnet-Joschko (2022),K55-K64
499,500,"Gastrointestinal ulcers and inflammation, esophageal reflux disease, functional bowel disorders, dysphagia",R13,R13,ICD10,Bohnet-Joschko (2022),R10-R19
500,501,Intestinal infections,A04,A04,ICD10,Bohnet-Joschko (2022),A00-A09
501,502,Intestinal infections,A08,A08,ICD10,Bohnet-Joschko (2022),A00-A09
502,503,Intestinal infections,A09,A09,ICD10,Bohnet-Joschko (2022),A00-A09
503,504,Intestinal infections,R11,R11,ICD10,Bohnet-Joschko (2022),R10-R19
504,505,"Chronic kidney disease, cystitis, other diseases of the urinary system.",N18,N18,ICD10,Bohnet-Joschko (2022),N17-N19
505,506,"Chronic kidney disease, cystitis, other diseases of the urinary system.",N30,N30,ICD10,Bohnet-Joschko (2022),N30-N39
506,507,"Chronic kidney disease, cystitis, other diseases of the urinary system.",N39,N39,ICD10,Bohnet-Joschko (2022),N30-N39
507,508,"Dementia (vascular or Alzheimer's disease, primary Parkinson's syndrome)",F01,F01,ICD10,Bohnet-Joschko (2022),F01-F09
508,509,"Dementia (vascular or Alzheimer's disease, primary Parkinson's syndrome)",G20,G20,ICD10,Bohnet-Joschko (2022),G20-G26
509,510,"Dementia (vascular or Alzheimer's disease, primary Parkinson's syndrome)",G30,G30,ICD10,Bohnet-Joschko (2022),G30-G32
510,511,"Mental disorders, personality or behavioral disorders, depressive disorder, schizoaffective disorder and schizophrenia, delirium",F05,F05,ICD10,Bohnet-Joschko (2022),F01-F09
511,512,"Mental disorders, personality or behavioral disorders, depressive disorder, schizoaffective disorder and schizophrenia, delirium",F06,F06,ICD10,Bohnet-Joschko (2022),F01-F09
512,513,"Mental disorders, personality or behavioral disorders, depressive disorder, schizoaffective disorder and schizophrenia, delirium",F07,F07,ICD10,Bohnet-Joschko (2022),F01-F09
513,514,"Mental disorders, personality or behavioral disorders, depressive disorder, schizoaffective disorder and schizophrenia, delirium",F10,F10,ICD10,Bohnet-Joschko (2022),F10-F19
514,515,"Mental disorders, personality or behavioral disorders, depressive disorder, schizoaffective disorder and schizophrenia, delirium",F20,F20,ICD10,Bohnet-Joschko (2022),F20-F29
515,516,"Mental disorders, personality or behavioral disorders, depressive disorder, schizoaffective disorder and schizophrenia, delirium",F32,F32,ICD10,Bohnet-Joschko (2022),F30-F39
516,517,"Mental disorders, personality or behavioral disorders, depressive disorder, schizoaffective disorder and schizophrenia, delirium",F33,F33,ICD10,Bohnet-Joschko (2022),F30-F39
517,518,"Other diseases of the nervous system (MS, epilepsy)",G35,G35,ICD10,Bohnet-Joschko (2022),G35-G37
518,519,"Other diseases of the nervous system (MS, epilepsy)",G40,G40,ICD10,Bohnet-Joschko (2022),G40-G47
519,520,Cataracta Senilis,H25,H25,ICD10,Bohnet-Joschko (2022),H25-H28
520,521,Anemias of different origin ,D50,D50,ICD10,Bohnet-Joschko (2022),D50-D53
521,522,Anemias of different origin ,D64,D64,ICD10,Bohnet-Joschko (2022),D60-D64
522,523,"Hypertension, hypotension, atherosclerosis, heart failure, thrombosis, phlebitis and thrombophlebitis.",I10,I10,ICD10,Bohnet-Joschko (2022),I10-I16
523,524,"Hypertension, hypotension, atherosclerosis, heart failure, thrombosis, phlebitis and thrombophlebitis.",I50,I50,ICD10,Bohnet-Joschko (2022),I30-I5A
524,525,"Hypertension, hypotension, atherosclerosis, heart failure, thrombosis, phlebitis and thrombophlebitis.",I70,I70,ICD10,Bohnet-Joschko (2022),I70-I79
525,526,"Hypertension, hypotension, atherosclerosis, heart failure, thrombosis, phlebitis and thrombophlebitis.",I80,I80,ICD10,Bohnet-Joschko (2022),I80-I89
526,527,"Hypertension, hypotension, atherosclerosis, heart failure, thrombosis, phlebitis and thrombophlebitis.",I95,I95,ICD10,Bohnet-Joschko (2022),I95-I99
527,528,"Other acute/chronic lower respiratory tract infections and influenza, sore throat and chest pain.",J10,J10,ICD10,Bohnet-Joschko (2022),J09-J18
528,529,"Other acute/chronic lower respiratory tract infections and influenza, sore throat and chest pain.",J20,J20,ICD10,Bohnet-Joschko (2022),J20-J22
529,530,"Other acute/chronic lower respiratory tract infections and influenza, sore throat and chest pain.",J22,J22,ICD10,Bohnet-Joschko (2022),J20-J22
530,531,"Other acute/chronic lower respiratory tract infections and influenza, sore throat and chest pain.",J40,J40,ICD10,Bohnet-Joschko (2022),J40-J47
531,532,"Other acute/chronic lower respiratory tract infections and influenza, sore throat and chest pain.",J44,J44,ICD10,Bohnet-Joschko (2022),J40-J47
532,533,"Other acute/chronic lower respiratory tract infections and influenza, sore throat and chest pain.",R07,R07,ICD10,Bohnet-Joschko (2022),R00-R09
533,534,"Skin infections, decubital ulcer and pressure zone, skin cancer exclusive melanoma",A46,A46,ICD10,Bohnet-Joschko (2022),A30-A49
534,535,"Skin infections, decubital ulcer and pressure zone, skin cancer exclusive melanoma",C44,C44,ICD10,Bohnet-Joschko (2022),C43-C44
535,536,"Skin infections, decubital ulcer and pressure zone, skin cancer exclusive melanoma",L02,L02,ICD10,Bohnet-Joschko (2022),L00-L08
536,537,"Skin infections, decubital ulcer and pressure zone, skin cancer exclusive melanoma",L89,L89,ICD10,Bohnet-Joschko (2022),L80-L99
537,538,"Back pain, disturbances of gait and mobility",M54,M54,ICD10,Bohnet-Joschko (2022),M50-M54
538,539,"Back pain, disturbances of gait and mobility",R26,R26,ICD10,Bohnet-Joschko (2022),R25-R29
539,540,Superficial injuries of various parts of the body,S00,S00,ICD10,Bohnet-Joschko (2022),S00-S09
540,541,Superficial injuries of various parts of the body,S01,S01,ICD10,Bohnet-Joschko (2022),S00-S09
541,542,Superficial injuries of various parts of the body,S20,S20,ICD10,Bohnet-Joschko (2022),S20-S29
542,543,Superficial injuries of various parts of the body,S30,S30,ICD10,Bohnet-Joschko (2022),S30-S39
543,544,Superficial injuries of various parts of the body,S70,S70,ICD10,Bohnet-Joschko (2022),S70-S79
544,545,Superficial injuries of various parts of the body,S80,S80,ICD10,Bohnet-Joschko (2022),S80-S89
545,546,Ischaemic heart diseases ,I20,I20,ICD10,Sundmacher et al (2015),I20-I25
546,547,Ischaemic heart diseases ,I25.0,I25,ICD10,Sundmacher et al (2015),I20-I25
547,548,Ischaemic heart diseases ,I25.1,I25,ICD10,Sundmacher et al (2015),I20-I25
548,549,Ischaemic heart diseases ,I25.5,I25,ICD10,Sundmacher et al (2015),I20-I25
549,550,Ischaemic heart diseases ,I25.6,I25,ICD10,Sundmacher et al (2015),I20-I25
550,551,Ischaemic heart diseases ,I25.8,I25,ICD10,Sundmacher et al (2015),I20-I25
551,552,Ischaemic heart diseases ,I25.9,I25,ICD10,Sundmacher et al (2015),I20-I25
552,553,Heart failure ,I50,I50,ICD10,Sundmacher et al (2015),I30-I5A
553,554,Other diseases of the circulatory system,I05,I05,ICD10,Sundmacher et al (2015),I05-I09
554,555,Other diseases of the circulatory system,I06,I06,ICD10,Sundmacher et al (2015),I05-I09
555,556,Other diseases of the circulatory system,I08.0,I08,ICD10,Sundmacher et al (2015),I05-I09
556,557,Other diseases of the circulatory system,I49.8,I49,ICD10,Sundmacher et al (2015),I30-I5A
557,558,Other diseases of the circulatory system,I49.9,I49,ICD10,Sundmacher et al (2015),I30-I5A
558,559,Other diseases of the circulatory system,I67.2,I67,ICD10,Sundmacher et al (2015),I60-I69
559,560,Other diseases of the circulatory system,I67.4,I67,ICD10,Sundmacher et al (2015),I60-I69
560,561,Other diseases of the circulatory system,I70,I70,ICD10,Sundmacher et al (2015),I70-I79
561,562,Other diseases of the circulatory system,I73,I73,ICD10,Sundmacher et al (2015),I70-I79
562,563,Other diseases of the circulatory system,I78,I78,ICD10,Sundmacher et al (2015),I70-I79
563,564,Other diseases of the circulatory system,I80.0,I80,ICD10,Sundmacher et al (2015),I80-I89
564,565,Other diseases of the circulatory system,I80.80,I80,ICD10,Sundmacher et al (2015),I80-I89
565,566,Other diseases of the circulatory system,I83a,I83,ICD10,Sundmacher et al (2015),I80-I89
566,567,Other diseases of the circulatory system,I86,I86,ICD10,Sundmacher et al (2015),I80-I89
567,568,Other diseases of the circulatory system,I87,I87,ICD10,Sundmacher et al (2015),I80-I89
568,569,Other diseases of the circulatory system,I95,I95,ICD10,Sundmacher et al (2015),I95-I99
569,570,Other diseases of the circulatory system,R00.0,R00,ICD10,Sundmacher et al (2015),R00-R09
570,571,Other diseases of the circulatory system,R00.2,R00,ICD10,Sundmacher et al (2015),R00-R09
571,572,Other diseases of the circulatory system,R47.0,R47,ICD10,Sundmacher et al (2015),R47-R49
572,573,Other diseases of the circulatory system,I83,I83,ICD10,Sundmacher et al (2015),I80-I89
573,574,Other diseases of the circulatory system,I86,I86,ICD10,Sundmacher et al (2015),I80-I89
574,575,Other diseases of the circulatory system,I87,I87,ICD10,Sundmacher et al (2015),I80-I89
575,576,Other diseases of the circulatory system,I95,I95,ICD10,Sundmacher et al (2015),I95-I99
576,577,Other diseases of the circulatory system,R00.0,R00,ICD10,Sundmacher et al (2015),R00-R09
577,578,Other diseases of the circulatory system,R00.2,R00,ICD10,Sundmacher et al (2015),R00-R09
