,id,original_description,code,nearest_level1_code,original_code_system,article,code_description,level1_code_description
213,214,Hypertensive diseases,I11.9,I11,ICD10,Sarmento et al (2020),Hypertensive heart disease without heart failure,Hypertensive heart disease
214,215,Hypertensive diseases,I12,I12,ICD10,Sarmento et al (2020),Hypertensive chronic kidney disease,Hypertensive chronic kidney disease
215,216,Hypertensive diseases,I13.1,I13,ICD10,Sarmento et al (2020),Hypertensive heart and chronic kidney disease without heart failure,Hypertensive heart and chronic kidney disease
216,217,Hypertensive diseases,I13.9,I13,ICD10,Sarmento et al (2020),ERROR,Hypertensive heart and chronic kidney disease
217,218,Hypertensive diseases,I15,I15,ICD10,Sarmento et al (2020),Secondary hypertension,Secondary hypertension
218,219,Heart failure ,I11.0,I11,ICD10,Sarmento et al (2020),Hypertensive heart disease with heart failure,Hypertensive heart disease
219,220,Heart failure ,I13.0,I13,ICD10,Sarmento et al (2020),"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",Hypertensive heart and chronic kidney disease
220,221,Heart failure ,I13.2,I13,ICD10,Sarmento et al (2020),"Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease",Hypertensive heart and chronic kidney disease
221,222,Atrial fibrillation ,I48,I48,ICD10,Sarmento et al (2020),Atrial fibrillation and flutter,Atrial fibrillation and flutter
222,223,Heart failure ,I50,I50,ICD10,Sarmento et al (2020),Heart failure,Heart failure
223,224,"Hypertension, hypotension, atherosclerosis, heart failure, thrombosis, phlebitis and thrombophlebitis",I50,I50,ICD10,Sarmento et al (2020),Heart failure,Heart failure
224,225,Hypertensive diseases,I60,I60,ICD10,Sarmento et al (2020),Nontraumatic subarachnoid hemorrhage,Nontraumatic subarachnoid hemorrhage
225,226,Hypertensive diseases,I61,I61,ICD10,Sarmento et al (2020),Nontraumatic intracerebral hemorrhage,Nontraumatic intracerebral hemorrhage
226,227,Hypertensive diseases,I64,I64,ICD10,Sarmento et al (2020),ERROR,ERROR
227,228,Hypertensive diseases,I67.4,I67,ICD10,Sarmento et al (2020),Hypertensive encephalopathy,Other cerebrovascular diseases
228,229,Thromboembolic venous diseasea,I80,I80,ICD10,Sarmento et al (2020),Phlebitis and thrombophlebitis,Phlebitis and thrombophlebitis
229,230,Thromboembolic venous diseasea,I82.2,I82,ICD10,Sarmento et al (2020),Embolism and thrombosis of vena cava and other thoracic veins,Other venous embolism and thrombosis
230,231,Thromboembolic venous diseasea,I82.3,I82,ICD10,Sarmento et al (2020),Embolism and thrombosis of renal vein,Other venous embolism and thrombosis
231,232,Thromboembolic venous diseasea,I82.8,I82,ICD10,Sarmento et al (2020),Embolism and thrombosis of other specified veins,Other venous embolism and thrombosis
232,233,Thromboembolic venous diseasea,I82.9,I82,ICD10,Sarmento et al (2020),Embolism and thrombosis of unspecified vein,Other venous embolism and thrombosis
233,234,Acute sinusitis,J01,J01,ICD10,Sarmento et al (2020),Acute sinusitis,Acute sinusitis
234,235,Acute pharyngitis,J02,J02,ICD10,Sarmento et al (2020),Acute pharyngitis,Acute pharyngitis
235,236,Acute tonsillitis,J03,J03,ICD10,Sarmento et al (2020),Acute tonsillitis,Acute tonsillitis
236,237,Upper respiratory tract infection,J06,J06,ICD10,Sarmento et al (2020),Acute upper respiratory infections of multiple and unspecified sites,Acute upper respiratory infections of multiple and unspecified sites
237,238,Influenza ,J09,J09,ICD10,Sarmento et al (2020),Influenza due to certain identified influenza viruses,Influenza due to certain identified influenza viruses
238,239,Influenza ,J10,J10,ICD10,Sarmento et al (2020),Influenza due to other identified influenza virus,Influenza due to other identified influenza virus
239,240,Influenza ,J11,J11,ICD10,Sarmento et al (2020),Influenza due to unidentified influenza virus,Influenza due to unidentified influenza virus
240,241,Pneumonia ,J13,J13,ICD10,Sarmento et al (2020),Pneumonia due to Streptococcus pneumoniae,Pneumonia due to Streptococcus pneumoniae
241,242,Pneumonia ,J14,J14,ICD10,Sarmento et al (2020),Pneumonia due to Hemophilus influenzae,Pneumonia due to Hemophilus influenzae
242,243,Pneumonia ,J15.3,J15,ICD10,Sarmento et al (2020),"Pneumonia due to streptococcus, group B","Bacterial pneumonia, not elsewhere classified"
243,244,Pneumonia ,J15.4,J15,ICD10,Sarmento et al (2020),Pneumonia due to other streptococci,"Bacterial pneumonia, not elsewhere classified"
244,245,Pneumonia ,J15.7,J15,ICD10,Sarmento et al (2020),Pneumonia due to Mycoplasma pneumoniae,"Bacterial pneumonia, not elsewhere classified"
245,246,Pneumonia ,J15.8,J15,ICD10,Sarmento et al (2020),Pneumonia due to other specified bacteria,"Bacterial pneumonia, not elsewhere classified"
246,247,Pneumonia ,J15.9,J15,ICD10,Sarmento et al (2020),Unspecified bacterial pneumonia,"Bacterial pneumonia, not elsewhere classified"
247,248,Pneumonia ,J16.0,J16,ICD10,Sarmento et al (2020),Chlamydial pneumonia,"Pneumonia due to other infectious organisms, not elsewhere classified"
248,249,Pneumonia ,J16.8,J16,ICD10,Sarmento et al (2020),Pneumonia due to other specified infectious organisms,"Pneumonia due to other infectious organisms, not elsewhere classified"
249,250,Pneumonia ,J18,J18,ICD10,Sarmento et al (2020),"Pneumonia, unspecified organism","Pneumonia, unspecified organism"
250,251,Chronic obstructive pulmonary disease / chronic bronchitis,J40,J40,ICD10,Sarmento et al (2020),"Bronchitis, not specified as acute or chronic","Bronchitis, not specified as acute or chronic"
251,252,Chronic obstructive pulmonary disease / chronic bronchitis,J41,J41,ICD10,Sarmento et al (2020),Simple and mucopurulent chronic bronchitis,Simple and mucopurulent chronic bronchitis
252,253,Chronic obstructive pulmonary disease / chronic bronchitis,J42,J42,ICD10,Sarmento et al (2020),Unspecified chronic bronchitis,Unspecified chronic bronchitis
253,254,Chronic obstructive pulmonary disease / chronic bronchitis,J43,J43,ICD10,Sarmento et al (2020),Emphysema,Emphysema
254,255,Chronic obstructive pulmonary disease / chronic bronchitis,J44,J44,ICD10,Sarmento et al (2020),Other chronic obstructive pulmonary disease,Other chronic obstructive pulmonary disease
255,256,Chronic obstructive pulmonary disease / chronic bronchitis,J47,J47,ICD10,Sarmento et al (2020),Bronchiectasis,Bronchiectasis
256,257,Asthma,J45,J45,ICD10,Sarmento et al (2020),Asthma,Asthma
257,258,Asthma,J46,J46,ICD10,Sarmento et al (2020),ERROR,ERROR
258,259,Heart failure ,J81,J81,ICD10,Sarmento et al (2020),Pulmonary edema,Pulmonary edema
259,260,Dental and oral cavity pathology ,K02,K02,ICD10,Sarmento et al (2020),Dental caries,Dental caries
260,261,Dental and oral cavity pathology ,K03,K03,ICD10,Sarmento et al (2020),Other diseases of hard tissues of teeth,Other diseases of hard tissues of teeth
261,262,Dental and oral cavity pathology ,K04,K04,ICD10,Sarmento et al (2020),Diseases of pulp and periapical tissues,Diseases of pulp and periapical tissues
262,263,Dental and oral cavity pathology ,K05,K05,ICD10,Sarmento et al (2020),Gingivitis and periodontal diseases,Gingivitis and periodontal diseases
263,264,Dental and oral cavity pathology ,K06,K06,ICD10,Sarmento et al (2020),Other disorders of gingiva and edentulous alveolar ridge,Other disorders of gingiva and edentulous alveolar ridge
264,265,Dental and oral cavity pathology ,K08,K08,ICD10,Sarmento et al (2020),Other disorders of teeth and supporting structures,Other disorders of teeth and supporting structures
265,266,Dental and oral cavity pathology ,K09,K09,ICD10,Sarmento et al (2020),"Cysts of oral region, not elsewhere classified","Cysts of oral region, not elsewhere classified"
266,267,Dental and oral cavity pathology ,K12,K12,ICD10,Sarmento et al (2020),Stomatitis and related lesions,Stomatitis and related lesions
267,268,Dental and oral cavity pathology ,K13,K13,ICD10,Sarmento et al (2020),Other diseases of lip and oral mucosa,Other diseases of lip and oral mucosa
268,269,Dental and oral cavity pathology ,K14,K14,ICD10,Sarmento et al (2020),Diseases of tongue,Diseases of tongue
269,270,Acute skin infections ,L01,L01,ICD10,Sarmento et al (2020),Impetigo,Impetigo
270,271,Acute skin infections ,L02,L02,ICD10,Sarmento et al (2020),"Cutaneous abscess, furuncle and carbuncle","Cutaneous abscess, furuncle and carbuncle"
271,272,Acute skin infections ,L03,L03,ICD10,Sarmento et al (2020),Cellulitis and acute lymphangitis,Cellulitis and acute lymphangitis
272,273,Acute skin infections ,L04,L04,ICD10,Sarmento et al (2020),Acute lymphadenitis,Acute lymphadenitis
273,274,Acute skin infections ,L08,L08,ICD10,Sarmento et al (2020),Other local infections of skin and subcutaneous tissue,Other local infections of skin and subcutaneous tissue
274,275,Urinary tract infections ,N10,N10,ICD10,Sarmento et al (2020),Acute pyelonephritis,Acute pyelonephritis
275,276,Urinary tract infections ,N11,N11,ICD10,Sarmento et al (2020),Chronic tubulo-interstitial nephritis,Chronic tubulo-interstitial nephritis
276,277,Urinary tract infections ,N12,N12,ICD10,Sarmento et al (2020),"Tubulo-interstitial nephritis, not specified as acute or chronic","Tubulo-interstitial nephritis, not specified as acute or chronic"
277,278,Urinary tract infections ,N30.0,N30,ICD10,Sarmento et al (2020),Acute cystitis,Cystitis
278,279,Urinary tract infections ,N30.8,N30,ICD10,Sarmento et al (2020),Other cystitis,Cystitis
279,280,Urinary tract infections ,N30.9,N30,ICD10,Sarmento et al (2020),"Cystitis, unspecified",Cystitis
280,281,Urinary tract infections in pregnancy,O23.0,O23,ICD10,Sarmento et al (2020),Infections of kidney in pregnancy,Infections of genitourinary tract in pregnancy
281,282,Urinary tract infections in pregnancy,O23.1,O23,ICD10,Sarmento et al (2020),Infections of bladder in pregnancy,Infections of genitourinary tract in pregnancy
282,283,Urinary tract infections in pregnancy,O23.2,O23,ICD10,Sarmento et al (2020),Infections of urethra in pregnancy,Infections of genitourinary tract in pregnancy
283,284,Urinary tract infections in pregnancy,O23.3,O23,ICD10,Sarmento et al (2020),Infections of other parts of urinary tract in pregnancy,Infections of genitourinary tract in pregnancy
284,285,Urinary tract infections in pregnancy,O23.4,O23,ICD10,Sarmento et al (2020),Unspecified infection of urinary tract in pregnancy,Infections of genitourinary tract in pregnancy
285,286,Urinary tract infections in pregnancy,O23.9,O23,ICD10,Sarmento et al (2020),Unspecified genitourinary tract infection in pregnancy,Infections of genitourinary tract in pregnancy
286,287,Superficial injuries,T00.9,T00,ICD10,Sarmento et al (2020),ERROR,ERROR
287,288,Superficial injuries,T14.0,T14,ICD10,Sarmento et al (2020),ERROR,Injury of unspecified body region
288,289,Superficial injuries,T14.03,T14,ICD10,Sarmento et al (2020),ERROR,Injury of unspecified body region
289,290,Voluntary termination of pregnancy,Z33.2,Z33,ICD10,Sarmento et al (2020),Encounter for elective termination of pregnancy,Pregnant state
290,291,Otras tuberculosis ,12,12,ICD9,Caminal et al (2001),"Operations on iris, ciliary body, sclera, and anterior chamber","Operations on iris, ciliary body, sclera, and anterior chamber"
291,292,Otras tuberculosis ,13,13,ICD9,Caminal et al (2001),Operations on lens,Operations on lens
292,293,Otras tuberculosis ,14,14,ICD9,Caminal et al (2001),"Operations on retina, choroid, vitreous, and posterior chamber","Operations on retina, choroid, vitreous, and posterior chamber"
293,294,Otras tuberculosis ,15,15,ICD9,Caminal et al (2001),Operations on extraocular muscles,Operations on extraocular muscles
294,295,Otras tuberculosis ,16,16,ICD9,Caminal et al (2001),Operations on orbit and eyeball,Operations on orbit and eyeball
295,296,Otras tuberculosis ,17,17,ICD9,Caminal et al (2001),Other miscellaneous procedures,Other miscellaneous procedures
296,297,Otras tuberculosis ,18,18,ICD9,Caminal et al (2001),Operations on external ear,Operations on external ear
297,298,Difteria,32,32,ICD9,Caminal et al (2001),Excision of lung and bronchus,Excision of lung and bronchus
298,299,Tétanos,37,37,ICD9,Caminal et al (2001),Other operations on heart and pericardium,Other operations on heart and pericardium
299,300,Poliomielitis aguda,45,45,ICD9,Caminal et al (2001),"Incision, excision, and anastomosis of intestine","Incision, excision, and anastomosis of intestine"
300,301,Sífilis congénita,90,90,ICD9,Caminal et al (2001),Microscopic examination-I,Microscopic examination-I
301,302,Diabetes con complicaciones generales agudas ,250.1,250,ICD9,Caminal et al (2001),Diabetes with ketoacidosis,Diabetes mellitus
302,303,Diabetes con complicaciones generales agudas ,250.2,250,ICD9,Caminal et al (2001),Diabetes mellitus with hyperosmolarity,Diabetes mellitus
303,304,Diabetes con complicaciones generales agudas ,250.3,250,ICD9,Caminal et al (2001),Diabetes with other coma,Diabetes mellitus
304,305,Coma hipoglucémico ,251.0,251,ICD9,Caminal et al (2001),Hypoglycemic coma,Other disorders of pancreatic internal secretion
305,306,Gangrena  (785.4) + diabetes con trastornos circulatorios periféricos (250.7),785.4,785,ICD9,Caminal et al (2001),Gangrene,Symptoms involving cardiovascular system
306,307,Gangrena  (785.4) + diabetes con trastornos circulatorios periféricos (250.7),250.7,250,ICD9,Caminal et al (2001),Diabetes with peripheral circulatory disorders,Diabetes mellitus
307,308,Hipopotasemia ,276.8,276,ICD9,Caminal et al (2001),Hypopotassemia,"Disorders of fluid, electrolyte, and acid-base balance"
308,309,Disminución de volumen/deshidratación ,276.5,276,ICD9,Caminal et al (2001),Volume depletion,"Disorders of fluid, electrolyte, and acid-base balance"
309,310,Meningitis por hemófilo,320.0,320,ICD9,Caminal et al (2001),Hemophilus meningitis,Bacterial meningitis
310,311,Fiebre reumática ,390,390,ICD9,Caminal et al (2001),Rheumatic fever without mention of heart involvement,Rheumatic fever without mention of heart involvement
311,312,Fiebre reumática ,391,391,ICD9,Caminal et al (2001),Rheumatic fever with heart involvement,Rheumatic fever with heart involvement
312,313,Hipertensión esencial maligna ,401.0,401,ICD9,Caminal et al (2001),Malignant essential hypertension,Essential hypertension
313,314,Enfermedad cardíaca hipertensiva maligna con IC ,402.01,402,ICD9,Caminal et al (2001),Malignant hypertensive heart disease with heart failure,Hypertensive heart disease
314,315,Enfermedad cardíaca hipertensiva benigna con IC ,402.11,402,ICD9,Caminal et al (2001),Benign hypertensive heart disease with heart failure,Hypertensive heart disease
315,316,Enfermedad cardíaca hipertensiva sin especificar con IC ,402.91,402,ICD9,Caminal et al (2001),Unspecified hypertensive heart disease with heart failure,Hypertensive heart disease
316,317,Enfermedad renal hipertensiva maligna,403.0,403,ICD9,Caminal et al (2001),"Hypertensive chronic kidney disease, malignant",Hypertensive chronic kidney disease
317,318,Enfermedad cardíaca y renal hipertensiva maligna ,404.0,404,ICD9,Caminal et al (2001),"Hypertensive heart and chronic kidney disease, malignant",Hypertensive heart and chronic kidney disease
318,319,Hipertensión secundaria maligna,405.0,405,ICD9,Caminal et al (2001),Malignant secondary hypertension,Secondary hypertension
319,320,Enfermedad cardíaca isquémica,410,410,ICD9,Caminal et al (2001),Acute myocardial infarction,Acute myocardial infarction
320,321,Enfermedad cardíaca isquémica,411,411,ICD9,Caminal et al (2001),Other acute and subacute forms of ischemic heart disease,Other acute and subacute forms of ischemic heart disease
321,322,Enfermedad cardíaca isquémica,412,412,ICD9,Caminal et al (2001),Old myocardial infarction,Old myocardial infarction
322,323,Enfermedad cardíaca isquémica,413,413,ICD9,Caminal et al (2001),Angina pectoris,Angina pectoris
323,324,Enfermedad cardíaca isquémica,414,414,ICD9,Caminal et al (2001),Other forms of chronic ischemic heart disease,Other forms of chronic ischemic heart disease
324,325,Fallo cardíaco ,428,428,ICD9,Caminal et al (2001),Heart failure,Heart failure
325,326,Enfermedad cerebrovascular,430,430,ICD9,Caminal et al (2001),Subarachnoid hemorrhage,Subarachnoid hemorrhage
326,327,Enfermedad cerebrovascular,431,431,ICD9,Caminal et al (2001),Intracerebral hemorrhage,Intracerebral hemorrhage
327,328,Enfermedad cerebrovascular,436,436,ICD9,Caminal et al (2001),"Acute, but ill-defined, cerebrovascular disease","Acute, but ill-defined, cerebrovascular disease"
328,329,Enfermedad cerebrovascular,437.2,437,ICD9,Caminal et al (2001),Hypertensive encephalopathy,Other and ill-defined cerebrovascular disease
329,330,Absceso peritonsilar,475,475,ICD9,Caminal et al (2001),Peritonsillar abscess,Peritonsillar abscess
330,331,Neumonía debida a hemófilo ,482.2,482,ICD9,Caminal et al (2001),Pneumonia due to Hemophilus influenzae [H. influenzae],Other bacterial pneumonia
331,332,Neumonía debida a estreptococos ,482.3,482,ICD9,Caminal et al (2001),Pneumonia due to Streptococcus,Other bacterial pneumonia
332,333,Neumonía debida a otro organismo especificado ,483,483,ICD9,Caminal et al (2001),Pneumonia due to other specified organism,Pneumonia due to other specified organism
333,334,"Bronconeumonía/neumonía, por organismo sin especificar ",485,485,ICD9,Caminal et al (2001),"Bronchopneumonia, organism unspecified","Bronchopneumonia, organism unspecified"
334,335,"Bronconeumonía/neumonía, por organismo sin especificar ",486,486,ICD9,Caminal et al (2001),"Pneumonia, organism unspecified","Pneumonia, organism unspecified"
335,336,"Edema agudo de pulmón, sin especificar ",518.4,518,ICD9,Caminal et al (2001),"Acute edema of lung, unspecified",Other diseases of lung
336,337,"Úlcera gástrica aguda o crónica o no especificada, con hemorragia o con hemorragia y perforación ",531.0,531,ICD9,Caminal et al (2001),Acute gastric ulcer with hemorrhage,Gastric ulcer
337,338,"Úlcera gástrica aguda o crónica o no especificada, con hemorragia o con hemorragia y perforación ",531.2,531,ICD9,Caminal et al (2001),Acute gastric ulcer with hemorrhage and perforation,Gastric ulcer
338,339,"Úlcera gástrica aguda o crónica o no especificada, con hemorragia o con hemorragia y perforación ",531.4,531,ICD9,Caminal et al (2001),Chronic or unspecified gastric ulcer with hemorrhage,Gastric ulcer
339,340,"Úlcera gástrica aguda o crónica o no especificada, con hemorragia o con hemorragia y perforación ",531.6,531,ICD9,Caminal et al (2001),Chronic or unspecified gastric ulcer with hemorrhage and perforation,Gastric ulcer
340,341,"Úlcera duodenal aguda o crónica o no especificada, con hemorragia o con hemorragia y perforación",532.0,532,ICD9,Caminal et al (2001),Acute duodenal ulcer with hemorrhage,Duodenal ulcer
341,342,"Úlcera duodenal aguda o crónica o no especificada, con hemorragia o con hemorragia y perforación",532.2,532,ICD9,Caminal et al (2001),Acute duodenal ulcer with hemorrhage and perforation,Duodenal ulcer
342,343,"Úlcera duodenal aguda o crónica o no especificada, con hemorragia o con hemorragia y perforación",532.4,532,ICD9,Caminal et al (2001),Chronic or unspecified duodenal ulcer with hemorrhage,Duodenal ulcer
343,344,"Úlcera duodenal aguda o crónica o no especificada, con hemorragia o con hemorragia y perforación",532.6,532,ICD9,Caminal et al (2001),Chronic or unspecified duodenal ulcer with hemorrhage and perforation,Duodenal ulcer
344,345,"Úlcera péptica, sitio no especificado, aguda o crónica o no especificada, con hemorragia o con hemorragia y perforación ",533.0,533,ICD9,Caminal et al (2001),Acute peptic ulcer of unspecified site with hemorrhage,"Peptic ulcer, site unspecified"
345,346,"Úlcera péptica, sitio no especificado, aguda o crónica o no especificada, con hemorragia o con hemorragia y perforación ",533.2,533,ICD9,Caminal et al (2001),Acute peptic ulcer of unspecified site with hemorrhage and perforation,"Peptic ulcer, site unspecified"
346,347,"Úlcera péptica, sitio no especificado, aguda o crónica o no especificada, con hemorragia o con hemorragia y perforación ",533.4,533,ICD9,Caminal et al (2001),Chronic or unspecified peptic ulcer of unspecified site with hemorrhage,"Peptic ulcer, site unspecified"
347,348,"Úlcera péptica, sitio no especificado, aguda o crónica o no especificada, con hemorragia o con hemorragia y perforación ",533.6,533,ICD9,Caminal et al (2001),Chronic or unspecified peptic ulcer of unspecified site with hemorrhage and perforation,"Peptic ulcer, site unspecified"
348,349,Apendicitis aguda con peritonitis generalizada,540.0,540,ICD9,Caminal et al (2001),Acute appendicitis with generalized peritonitis,Acute appendicitis
349,350,Apendicitis aguda con absceso peritoneal,540.1,540,ICD9,Caminal et al (2001),Acute appendicitis with peritoneal abscess,Acute appendicitis
350,351,Pielonefritis aguda,590.1,590,ICD9,Caminal et al (2001),Acute pyelonephritis,Infections of kidney
351,352,"Enfermedad inflamatoria de ovario, trompa de Falopio, tejido celular pélvico y peritoneo",614,614,ICD9,Caminal et al (2001),"Inflammatory disease of ovary, fallopian tube, pelvic cellular tissue, and peritoneum","Inflammatory disease of ovary, fallopian tube, pelvic cellular tissue, and peritoneum"
352,353,Viral infection unspec,79.9,79,ICD9,Sanderson et al (2000),Unspecified operation on bone injury,Reduction of fracture and dislocation
353,354,Viralwarts,78.1,78,ICD9,Sanderson et al (2000),Application of external fixator device,"Other operations on bones, except facial bones"
354,355,Diabetes (insulin-dependent),250.0,250,ICD9,Sanderson et al (2000),Diabetes mellitus without mention of complication,Diabetes mellitus
355,356,Hypoglycaemia unspec,251.2,251,ICD9,Sanderson et al (2000),"Hypoglycemia, unspecified",Other disorders of pancreatic internal secretion
356,357,Diabetes (non-insulin·dependent),250.0,250,ICD9,Sanderson et al (2000),Diabetes mellitus without mention of complication,Diabetes mellitus
357,358,Iron deficiency anemias,280,280,ICD9,Sanderson et al (2000),Iron deficiency anemias,Iron deficiency anemias
358,359,Epilepsy unspec,345.9,345,ICD9,Sanderson et al (2000),"Epilepsy, unspecified",Epilepsy and recurrent seizures
359,360,Asthma extrinsic,493.0,493,ICD9,Sanderson et al (2000),Extrinsic asthma,Asthma
360,361,Asthma unspec,493.9,493,ICD9,Sanderson et al (2000),"Asthma, unspecified",Asthma
361,362,Dyspepsia and other stomach function disorders,536.8,536,ICD9,Sanderson et al (2000),Dyspepsia and other specified disorders of function of stomach,Disorders of function of stomach
362,363,Gastric ulcer unspec w/o haemorrhage or perforation,531.9,531,ICD9,Sanderson et al (2000),"Gastric ulcer, unspecified as acute or chronic, without mention of hemorrhage or perforation",Gastric ulcer
363,364,Gastritis and duodenitis unspec,535.5 ,535,ICD9,Sanderson et al (2000),ERROR,Gastritis and duodenitis
364,365,Constipation,564.0,564,ICD9,Sanderson et al (2000),Constipation,"Functional digestive disorders, not elsewhere classified"
365,366,"Dysplasia, mucous pclyp, erosion of cervix",602.0,602,ICD9,Sanderson et al (2000),Calculus of prostate,Other disorders of prostate
366,367,"Dysplasia, mucous pclyp, erosion of cervix",602.1,602,ICD9,Sanderson et al (2000),Congestion or hemorrhage of prostate,Other disorders of prostate
367,368,"Dysplasia, mucous pclyp, erosion of cervix",602.7,602,ICD9,Sanderson et al (2000),ERROR,Other disorders of prostate
368,369,"Cellulitisof face, etc",682.0,682,ICD9,Sanderson et al (2000),Cellulitis and abscess of face,Other cellulitis and abscess
369,370,Sebaceous cyst,706.2,706,ICD9,Sanderson et al (2000),Sebaceous cyst,Diseases of sebaceous glands
370,371,Lower limb ulcer except decubitus,707.1,707,ICD9,Sanderson et al (2000),"Ulcer of lower limbs, except pressure ulcer",Chronic ulcer of skin
371,372,Ingrowing toenail,703.0,703,ICD9,Sanderson et al (2000),Ingrowing nail,Diseases of nail
372,373,"Ganglion and cyst of synovium, tendon and bursa",727.4,727,ICD9,Sanderson et al (2000),"Ganglion and cyst of synovium, tendon, and bursa","Other disorders of synovium, tendon, and bursa"
373,374,"Fracture of radius & ulna (lower,closed)",813.4,813,ICD9,Sanderson et al (2000),"Fracture of lower end of radius and ulna, closed",Fracture of radius and ulna
374,375,Tuberculosis,11,11,ICD9,Caminal et al (2004),Operations on cornea,Operations on cornea
375,376,Tuberculosis,11,11,ICD9,Caminal et al (2004),Operations on cornea,Operations on cornea
376,377,Tuberculosis,12,12,ICD9,Caminal et al (2004),"Operations on iris, ciliary body, sclera, and anterior chamber","Operations on iris, ciliary body, sclera, and anterior chamber"
377,378,Tuberculosis,13,13,ICD9,Caminal et al (2004),Operations on lens,Operations on lens
378,379,Tuberculosis,14,14,ICD9,Caminal et al (2004),"Operations on retina, choroid, vitreous, and posterior chamber","Operations on retina, choroid, vitreous, and posterior chamber"
379,380,Tuberculosis,15,15,ICD9,Caminal et al (2004),Operations on extraocular muscles,Operations on extraocular muscles
380,381,Tuberculosis,16,16,ICD9,Caminal et al (2004),Operations on orbit and eyeball,Operations on orbit and eyeball
381,382,Tuberculosis,17,17,ICD9,Caminal et al (2004),Other miscellaneous procedures,Other miscellaneous procedures
382,383,Immunization and preventable infectious diseases,18,18,ICD9,Caminal et al (2004),Operations on external ear,Operations on external ear
383,384,Immunization and preventable infectious diseases,37,37,ICD9,Caminal et al (2004),Other operations on heart and pericardium,Other operations on heart and pericardium
384,385,Immunization and preventable infectious diseases,45,45,ICD9,Caminal et al (2004),"Incision, excision, and anastomosis of intestine","Incision, excision, and anastomosis of intestine"
385,386,Congenital syphilis,90,90,ICD9,Caminal et al (2004),Microscopic examination-I,Microscopic examination-I
386,387,Diabetes mellitus,250.0,250,ICD9,Caminal et al (2004),Diabetes mellitus without mention of complication,Diabetes mellitus
387,388,Diabetes mellitus,250.1,250,ICD9,Caminal et al (2004),Diabetes with ketoacidosis,Diabetes mellitus
388,389,Diabetes mellitus,250.2,250,ICD9,Caminal et al (2004),Diabetes mellitus with hyperosmolarity,Diabetes mellitus
389,390,Diabetes mellitus,250.3,250,ICD9,Caminal et al (2004),Diabetes with other coma,Diabetes mellitus
390,391,Diabetes mellitus,250.7,250,ICD9,Caminal et al (2004),Diabetes with peripheral circulatory disorders,Diabetes mellitus
391,392,Diabetes mellitus,250.8,250,ICD9,Caminal et al (2004),Diabetes with other specified manifestations,Diabetes mellitus
392,393,Diabetes mellitus,251.0,251,ICD9,Caminal et al (2004),Hypoglycemic coma,Other disorders of pancreatic internal secretion
393,394,Diabetes mellitus,785.4,785,ICD9,Caminal et al (2004),Gangrene,Symptoms involving cardiovascular system
394,395,Diabetes mellitus,250.7,250,ICD9,Caminal et al (2004),Diabetes with peripheral circulatory disorders,Diabetes mellitus
395,396,Disorders of hydro-electrolyte metabolism,276.5,276,ICD9,Caminal et al (2004),Volume depletion,"Disorders of fluid, electrolyte, and acid-base balance"
396,397,Disorders of hydro-electrolyte metabolism,276.8,276,ICD9,Caminal et al (2004),Hypopotassemia,"Disorders of fluid, electrolyte, and acid-base balance"
397,398,Iron deficiency anemias,280,280,ICD9,Caminal et al (2004),Iron deficiency anemias,Iron deficiency anemias
398,399,Gangrene + Diabetes with peripheral circulatory disorders,320.0,320,ICD9,Caminal et al (2004),Hemophilus meningitis,Bacterial meningitis
399,400,Convulsions,345,345,ICD9,Caminal et al (2004),Epilepsy and recurrent seizures,Epilepsy and recurrent seizures
400,401,Diseases of the upper respiratory tract,382,382,ICD9,Caminal et al (2004),Suppurative and unspecified otitis media,Suppurative and unspecified otitis media
401,402,Immunization and preventable infectious diseases,390,390,ICD9,Caminal et al (2004),Rheumatic fever without mention of heart involvement,Rheumatic fever without mention of heart involvement
402,403,Immunization and preventable infectious diseases,391,391,ICD9,Caminal et al (2004),Rheumatic fever with heart involvement,Rheumatic fever with heart involvement
403,404,Hypertensive heart disease,401,401,ICD9,Caminal et al (2004),Essential hypertension,Essential hypertension
404,405,Hypertensive heart disease,402.00,402,ICD9,Caminal et al (2004),Malignant hypertensive heart disease without heart failure,Hypertensive heart disease
405,406,Hypertensive heart disease,402.10,402,ICD9,Caminal et al (2004),Benign hypertensive heart disease without heart failure,Hypertensive heart disease
406,407,Hypertensive heart disease,403,403,ICD9,Caminal et al (2004),Hypertensive chronic kidney disease,Hypertensive chronic kidney disease
407,408,Hypertensive heart disease,404,404,ICD9,Caminal et al (2004),Hypertensive heart and chronic kidney disease,Hypertensive heart and chronic kidney disease
408,409,Hypertensive heart disease,405,405,ICD9,Caminal et al (2004),Secondary hypertension,Secondary hypertension
