id;original_description;code;nearest_level1_code;original_code_system;article;code_description;level1_code_description;umls_cui;level1_umls_cui
190;Diabetes mellitus (complications) ;E13.6;E13;ICD10;Sarmento et al (2020);Other specified diabetes mellitus with other specified complications;Other specified diabetes mellitus;C0348931;
191;Diabetes mellitus (complications) ;E13.8;E13;ICD10;Sarmento et al (2020);Other specified diabetes mellitus with unspecified complications;Other specified diabetes mellitus;C0348932;
192;Diabetes mellitus (complications) ;E13.9;E13;ICD10;Sarmento et al (2020);Other specified diabetes mellitus without complications;Other specified diabetes mellitus;C0494293;
193;Diabetes mellitus (complications) ;E14.0;E14;ICD10;Sarmento et al (2020);ERROR;ERROR;ERROR - atom;ERROR - atom
194;Diabetes mellitus (complications) ;E14.1;E14;ICD10;Sarmento et al (2020);ERROR;ERROR;ERROR - atom;ERROR - atom
195;Diabetes mellitus (complications) ;E14.5;E14;ICD10;Sarmento et al (2020);ERROR;ERROR;ERROR - atom;ERROR - atom
196;Diabetes mellitus (complications) ;E14.6;E14;ICD10;Sarmento et al (2020);ERROR;ERROR;ERROR - atom;ERROR - atom
197;Diabetes mellitus (complications) ;E14.8;E14;ICD10;Sarmento et al (2020);ERROR;ERROR;ERROR - atom;ERROR - atom
198;Diabetes mellitus (complications) ;E14.9;E14;ICD10;Sarmento et al (2020);ERROR;ERROR;ERROR - atom;ERROR - atom
199;Diabetes mellitus (complications) ;E15;E15;ICD10;Sarmento et al (2020);Nondiabetic hypoglycemic coma;Nondiabetic hypoglycemic coma;C0020617;C0020617
200;Obesity ;E66;E66;ICD10;Sarmento et al (2020);Overweight and obesity;Overweight and obesity;C1561826;C1561826
201;Dehydration / Hydroelectrolytic changes;E86;E86;ICD10;Sarmento et al (2020);Volume depletion;Volume depletion;C0546884;C0546884
202;Dehydration / Hydroelectrolytic changes;E87.6;E87;ICD10;Sarmento et al (2020);Hypokalemia;Other disorders of fluid, electrolyte and acid-base balance;C0020621;C0494355
203;Dementia ;F01;F01;ICD10;Sarmento et al (2020);Vascular dementia;Vascular dementia;C0011263;C0011263
204;Dementia ;F03;F03;ICD10;Sarmento et al (2020);Unspecified dementia;Unspecified dementia;C0011265;C0011265
205;Depression;F32;F32;ICD10;Sarmento et al (2020);Depressive episode;Depressive episode;C0349217;C0349217
206;Depression;F33;F33;ICD10;Sarmento et al (2020);Major depressive disorder, recurrent;Major depressive disorder, recurrent;;
207;Dementia;G30;G30;ICD10;Sarmento et al (2020);Alzheimer's disease;Alzheimer's disease;C0002395;C0002395
208;Dementia;G31.0;G31;ICD10;Sarmento et al (2020);Frontotemporal dementia;Other degenerative diseases of nervous system, not elsewhere classified;C0338451;C0494464
209;Dementia;G31.8;G31;ICD10;Sarmento et al (2020);Other specified degenerative diseases of nervous system;Other degenerative diseases of nervous system, not elsewhere classified;C0477365;C0494464
210;Acute otitis media;H65.0;H65;ICD10;Sarmento et al (2020);Acute serous otitis media;Nonsuppurative otitis media;C0155415;
211;Acute otitis media;H65.1;H65;ICD10;Sarmento et al (2020);Other acute nonsuppurative otitis media;Nonsuppurative otitis media;C0477443;
212;Acute otitis media;H66.0;H66;ICD10;Sarmento et al (2020);Acute suppurative otitis media;Suppurative and unspecified otitis media;C0271431;C0029888
213;Hypertensive diseases;I10;I10;ICD10;Sarmento et al (2020);Essential (primary) hypertension;Essential (primary) hypertension;C0085580;C0085580
214;Hypertensive diseases;I11.9;I11;ICD10;Sarmento et al (2020);Hypertensive heart disease without heart failure;Hypertensive heart disease;;
215;Hypertensive diseases;I12;I12;ICD10;Sarmento et al (2020);Hypertensive chronic kidney disease;Hypertensive chronic kidney disease;C0848548;C0848548
216;Hypertensive diseases;I13.1;I13;ICD10;Sarmento et al (2020);Hypertensive heart and chronic kidney disease without heart failure;Hypertensive heart and chronic kidney disease;C2882082;C0155601
217;Hypertensive diseases;I13.9;I13;ICD10;Sarmento et al (2020);ERROR;Hypertensive heart and chronic kidney disease;ERROR - atom;C0155601
218;Hypertensive diseases;I15;I15;ICD10;Sarmento et al (2020);Secondary hypertension;Secondary hypertension;C0155616;C0155616
219;Heart failure ;I11.0;I11;ICD10;Sarmento et al (2020);Hypertensive heart disease with heart failure;Hypertensive heart disease;;
220;Heart failure ;I13.0;I13;ICD10;Sarmento et al (2020);Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease;Hypertensive heart and chronic kidney disease;C2882081;C0155601
221;Heart failure ;I13.2;I13;ICD10;Sarmento et al (2020);Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease;Hypertensive heart and chronic kidney disease;C2882086;C0155601
222;Atrial fibrillation ;I48;I48;ICD10;Sarmento et al (2020);Atrial fibrillation and flutter;Atrial fibrillation and flutter;C0155709;C0155709
223;Heart failure ;I50;I50;ICD10;Sarmento et al (2020);Heart failure;Heart failure;C0018801;C0018801
224;Hypertension, hypotension, atherosclerosis, heart failure, thrombosis, phlebitis and thrombophlebitis;I50;I50;ICD10;Sarmento et al (2020);Heart failure;Heart failure;C0018801;C0018801
225;Hypertensive diseases;I60;I60;ICD10;Sarmento et al (2020);Nontraumatic subarachnoid hemorrhage;Nontraumatic subarachnoid hemorrhage;C1410400;C1410400
226;Hypertensive diseases;I61;I61;ICD10;Sarmento et al (2020);Nontraumatic intracerebral hemorrhage;Nontraumatic intracerebral hemorrhage;C3662030;C3662030
227;Hypertensive diseases;I64;I64;ICD10;Sarmento et al (2020);ERROR;ERROR;ERROR - atom;ERROR - atom
228;Hypertensive diseases;I67.4;I67;ICD10;Sarmento et al (2020);Hypertensive encephalopathy;Other cerebrovascular diseases;C0151620;C0393949
229;Thromboembolic venous diseasea;I80;I80;ICD10;Sarmento et al (2020);Phlebitis and thrombophlebitis;Phlebitis and thrombophlebitis;C0031542;C0031542
230;Thromboembolic venous diseasea;I82.2;I82;ICD10;Sarmento et al (2020);Embolism and thrombosis of vena cava and other thoracic veins;Other venous embolism and thrombosis;C2883080;C0155774
231;Thromboembolic venous diseasea;I82.3;I82;ICD10;Sarmento et al (2020);Embolism and thrombosis of renal vein;Other venous embolism and thrombosis;C0155776;C0155774
232;Thromboembolic venous diseasea;I82.8;I82;ICD10;Sarmento et al (2020);Embolism and thrombosis of other specified veins;Other venous embolism and thrombosis;C0155777;C0155774
233;Thromboembolic venous diseasea;I82.9;I82;ICD10;Sarmento et al (2020);Embolism and thrombosis of unspecified vein;Other venous embolism and thrombosis;C0494623;C0155774
234;Acute sinusitis;J01;J01;ICD10;Sarmento et al (2020);Acute sinusitis;Acute sinusitis;;
235;Acute pharyngitis;J02;J02;ICD10;Sarmento et al (2020);Acute pharyngitis;Acute pharyngitis;;
236;Acute tonsillitis;J03;J03;ICD10;Sarmento et al (2020);Acute tonsillitis;Acute tonsillitis;C0001361;C0001361
237;Upper respiratory tract infection;J06;J06;ICD10;Sarmento et al (2020);Acute upper respiratory infections of multiple and unspecified sites;Acute upper respiratory infections of multiple and unspecified sites;C0264223;C0264223
238;Influenza ;J09;J09;ICD10;Sarmento et al (2020);Influenza due to certain identified influenza viruses;Influenza due to certain identified influenza viruses;C2712970;C2712970
239;Influenza ;J10;J10;ICD10;Sarmento et al (2020);Influenza due to other identified influenza virus;Influenza due to other identified influenza virus;C0276353;C0276353
240;Influenza ;J11;J11;ICD10;Sarmento et al (2020);Influenza due to unidentified influenza virus;Influenza due to unidentified influenza virus;C2977051;C2977051
241;Pneumonia ;J13;J13;ICD10;Sarmento et al (2020);Pneumonia due to Streptococcus pneumoniae;Pneumonia due to Streptococcus pneumoniae;C0155862;C0155862
242;Pneumonia ;J14;J14;ICD10;Sarmento et al (2020);Pneumonia due to Hemophilus influenzae;Pneumonia due to Hemophilus influenzae;;
243;Pneumonia ;J15.3;J15;ICD10;Sarmento et al (2020);Pneumonia due to streptococcus, group B;Bacterial pneumonia, not elsewhere classified;C0348801;
244;Pneumonia ;J15.4;J15;ICD10;Sarmento et al (2020);Pneumonia due to other streptococci;Bacterial pneumonia, not elsewhere classified;C0375326;
245;Pneumonia ;J15.7;J15;ICD10;Sarmento et al (2020);Pneumonia due to Mycoplasma pneumoniae;Bacterial pneumonia, not elsewhere classified;C0032302;
246;Pneumonia ;J15.8;J15;ICD10;Sarmento et al (2020);Pneumonia due to other specified bacteria;Bacterial pneumonia, not elsewhere classified;C0032286;
247;Pneumonia ;J15.9;J15;ICD10;Sarmento et al (2020);Unspecified bacterial pneumonia;Bacterial pneumonia, not elsewhere classified;;
248;Pneumonia ;J16.0;J16;ICD10;Sarmento et al (2020);Chlamydial pneumonia;Pneumonia due to other infectious organisms, not elsewhere classified;C0339959;C0494644
249;Pneumonia ;J16.8;J16;ICD10;Sarmento et al (2020);Pneumonia due to other specified infectious organisms;Pneumonia due to other infectious organisms, not elsewhere classified;C0348679;C0494644
250;Pneumonia ;J18;J18;ICD10;Sarmento et al (2020);Pneumonia, unspecified organism;Pneumonia, unspecified organism;C0339951;C0339951
251;Chronic obstructive pulmonary disease / chronic bronchitis;J40;J40;ICD10;Sarmento et al (2020);Bronchitis, not specified as acute or chronic;Bronchitis, not specified as acute or chronic;C0006277;C0006277
252;Chronic obstructive pulmonary disease / chronic bronchitis;J41;J41;ICD10;Sarmento et al (2020);Simple and mucopurulent chronic bronchitis;Simple and mucopurulent chronic bronchitis;C0392000;C0392000
253;Chronic obstructive pulmonary disease / chronic bronchitis;J42;J42;ICD10;Sarmento et al (2020);Unspecified chronic bronchitis;Unspecified chronic bronchitis;;
254;Chronic obstructive pulmonary disease / chronic bronchitis;J43;J43;ICD10;Sarmento et al (2020);Emphysema;Emphysema;C0034067;C0034067
255;Chronic obstructive pulmonary disease / chronic bronchitis;J44;J44;ICD10;Sarmento et al (2020);Other chronic obstructive pulmonary disease;Other chronic obstructive pulmonary disease;;
256;Chronic obstructive pulmonary disease / chronic bronchitis;J47;J47;ICD10;Sarmento et al (2020);Bronchiectasis;Bronchiectasis;;
257;Asthma;J45;J45;ICD10;Sarmento et al (2020);Asthma;Asthma;C1260881;C1260881
258;Asthma;J46;J46;ICD10;Sarmento et al (2020);ERROR;ERROR;ERROR - atom;ERROR - atom
259;Heart failure ;J81;J81;ICD10;Sarmento et al (2020);Pulmonary edema;Pulmonary edema;C0034063;C0034063
260;Dental and oral cavity pathology ;K02;K02;ICD10;Sarmento et al (2020);Dental caries;Dental caries;C3714731;C3714731
261;Dental and oral cavity pathology ;K03;K03;ICD10;Sarmento et al (2020);Other diseases of hard tissues of teeth;Other diseases of hard tissues of teeth;C0399347;C0399347
262;Dental and oral cavity pathology ;K04;K04;ICD10;Sarmento et al (2020);Diseases of pulp and periapical tissues;Diseases of pulp and periapical tissues;C0155933;C0155933
263;Dental and oral cavity pathology ;K05;K05;ICD10;Sarmento et al (2020);Gingivitis and periodontal diseases;Gingivitis and periodontal diseases;C0494704;C0494704
264;Dental and oral cavity pathology ;K06;K06;ICD10;Sarmento et al (2020);Other disorders of gingiva and edentulous alveolar ridge;Other disorders of gingiva and edentulous alveolar ridge;C0494706;C0494706
265;Dental and oral cavity pathology ;K08;K08;ICD10;Sarmento et al (2020);Other disorders of teeth and supporting structures;Other disorders of teeth and supporting structures;C0494707;C0494707
266;Dental and oral cavity pathology ;K09;K09;ICD10;Sarmento et al (2020);Cysts of oral region, not elsewhere classified;Cysts of oral region, not elsewhere classified;;
267;Dental and oral cavity pathology ;K12;K12;ICD10;Sarmento et al (2020);Stomatitis and related lesions;Stomatitis and related lesions;C0494713;C0494713
268;Dental and oral cavity pathology ;K13;K13;ICD10;Sarmento et al (2020);Other diseases of lip and oral mucosa;Other diseases of lip and oral mucosa;;
269;Dental and oral cavity pathology ;K14;K14;ICD10;Sarmento et al (2020);Diseases of tongue;Diseases of tongue;C0040409;C0040409
270;Acute skin infections ;L01;L01;ICD10;Sarmento et al (2020);Impetigo;Impetigo;C0021099;C0021099
271;Acute skin infections ;L02;L02;ICD10;Sarmento et al (2020);Cutaneous abscess, furuncle and carbuncle;Cutaneous abscess, furuncle and carbuncle;C0494813;C0494813
272;Acute skin infections ;L03;L03;ICD10;Sarmento et al (2020);Cellulitis and acute lymphangitis;Cellulitis and acute lymphangitis;C2888134;C2888134
273;Acute skin infections ;L04;L04;ICD10;Sarmento et al (2020);Acute lymphadenitis;Acute lymphadenitis;;
274;Acute skin infections ;L08;L08;ICD10;Sarmento et al (2020);Other local infections of skin and subcutaneous tissue;Other local infections of skin and subcutaneous tissue;C0157707;C0157707
275;Urinary tract infections ;N10;N10;ICD10;Sarmento et al (2020);Acute pyelonephritis;Acute pyelonephritis;C0520575;C0520575
276;Urinary tract infections ;N11;N11;ICD10;Sarmento et al (2020);Chronic tubulo-interstitial nephritis;Chronic tubulo-interstitial nephritis;;
277;Urinary tract infections ;N12;N12;ICD10;Sarmento et al (2020);Tubulo-interstitial nephritis, not specified as acute or chronic;Tubulo-interstitial nephritis, not specified as acute or chronic;C0027707;C0027707
278;Urinary tract infections ;N30.0;N30;ICD10;Sarmento et al (2020);Acute cystitis;Cystitis;C0149523;C0010692
279;Urinary tract infections ;N30.8;N30;ICD10;Sarmento et al (2020);Other cystitis;Cystitis;;C0010692
280;Urinary tract infections ;N30.9;N30;ICD10;Sarmento et al (2020);Cystitis, unspecified;Cystitis;C0010692;C0010692
281;Urinary tract infections in pregnancy;O23.0;O23;ICD10;Sarmento et al (2020);Infections of kidney in pregnancy;Infections of genitourinary tract in pregnancy;;C0156756
282;Urinary tract infections in pregnancy;O23.1;O23;ICD10;Sarmento et al (2020);Infections of bladder in pregnancy;Infections of genitourinary tract in pregnancy;C0452164;C0156756
283;Urinary tract infections in pregnancy;O23.2;O23;ICD10;Sarmento et al (2020);Infections of urethra in pregnancy;Infections of genitourinary tract in pregnancy;C0452165;C0156756
284;Urinary tract infections in pregnancy;O23.3;O23;ICD10;Sarmento et al (2020);Infections of other parts of urinary tract in pregnancy;Infections of genitourinary tract in pregnancy;C0477815;C0156756
285;Urinary tract infections in pregnancy;O23.4;O23;ICD10;Sarmento et al (2020);Unspecified infection of urinary tract in pregnancy;Infections of genitourinary tract in pregnancy;C0495188;C0156756
286;Urinary tract infections in pregnancy;O23.9;O23;ICD10;Sarmento et al (2020);Unspecified genitourinary tract infection in pregnancy;Infections of genitourinary tract in pregnancy;C0156756;C0156756
287;Superficial injuries;T00.9;T00;ICD10;Sarmento et al (2020);ERROR;ERROR;ERROR - atom;ERROR - atom
288;Superficial injuries;T14.0;T14;ICD10;Sarmento et al (2020);ERROR;Injury of unspecified body region;ERROR - atom;C0496020
289;Superficial injuries;T14.03;T14;ICD10;Sarmento et al (2020);ERROR;Injury of unspecified body region;ERROR - atom;C0496020
290;Voluntary termination of pregnancy;Z33.2;Z33;ICD10;Sarmento et al (2020);Encounter for elective termination of pregnancy;Pregnant state;C2910730;C0868560
291;Otras tuberculosis ;12;12;ICD9;Caminal et al (2001);Other respiratory tuberculosis;Other respiratory tuberculosis;C0152620;C0152620
292;Otras tuberculosis ;13;13;ICD9;Caminal et al (2001);Tuberculosis of meninges and central nervous system;Tuberculosis of meninges and central nervous system;C0152654;C0152654
293;Otras tuberculosis ;14;14;ICD9;Caminal et al (2001);Tuberculosis of intestines, peritoneum, and mesenteric glands;Tuberculosis of intestines, peritoneum, and mesenteric glands;C0152717;C0152717
294;Otras tuberculosis ;15;15;ICD9;Caminal et al (2001);Tuberculosis of bones and joints;Tuberculosis of bones and joints;C0041324;C0041324
295;Otras tuberculosis ;16;16;ICD9;Caminal et al (2001);Tuberculosis of genitourinary system;Tuberculosis of genitourinary system;C0041333;C0041333
296;Otras tuberculosis ;17;17;ICD9;Caminal et al (2001);Tuberculosis of other organs;Tuberculosis of other organs;C0041300;C0041300
297;Otras tuberculosis ;18;18;ICD9;Caminal et al (2001);Miliary tuberculosis;Miliary tuberculosis;C0041321;C0041321
298;Difteria;32;32;ICD9;Caminal et al (2001);Diphtheria;Diphtheria;C0012546;C0012546
299;Tétanos;37;37;ICD9;Caminal et al (2001);Tetanus;Tetanus;C0039614;C0039614
300;Poliomielitis aguda;45;45;ICD9;Caminal et al (2001);Acute poliomyelitis;Acute poliomyelitis;C0032371;C0032371
301;Sífilis congénita;90;90;ICD9;Caminal et al (2001);Congenital syphilis;Congenital syphilis;C0039131;C0039131
302;Diabetes con complicaciones generales agudas ;250.1;250;ICD9;Caminal et al (2001);Diabetes with ketoacidosis;Diabetes mellitus;C0011880;C0011849
303;Diabetes con complicaciones generales agudas ;250.2;250;ICD9;Caminal et al (2001);Diabetes mellitus with hyperosmolarity;Diabetes mellitus;C0375121;C0011849
304;Diabetes con complicaciones generales agudas ;250.3;250;ICD9;Caminal et al (2001);Diabetes with other coma;Diabetes mellitus;C0011870;C0011849
305;Coma hipoglucémico ;251.0;251;ICD9;Caminal et al (2001);Hypoglycemic coma;Other disorders of pancreatic internal secretion;C0020617;C0154189
306;Gangrena  (785.4) + diabetes con trastornos circulatorios periféricos (250.7);785.4;785;ICD9;Caminal et al (2001);Gangrene;Symptoms involving cardiovascular system;C0017086;C0159049
307;Gangrena  (785.4) + diabetes con trastornos circulatorios periféricos (250.7);250.7;250;ICD9;Caminal et al (2001);Diabetes with peripheral circulatory disorders;Diabetes mellitus;C0011871;C0011849
308;Hipopotasemia ;276.8;276;ICD9;Caminal et al (2001);Hypopotassemia;Disorders of fluid, electrolyte, and acid-base balance;C0020621;C0267994
309;Disminución de volumen/deshidratación ;276.5;276;ICD9;Caminal et al (2001);Volume depletion;Disorders of fluid, electrolyte, and acid-base balance;C0546884;C0267994
310;Meningitis por hemófilo;320.0;320;ICD9;Caminal et al (2001);Hemophilus meningitis;Bacterial meningitis;C0025292;C0085437
311;Fiebre reumática ;390;390;ICD9;Caminal et al (2001);Rheumatic fever without mention of heart involvement;Rheumatic fever without mention of heart involvement;C0264743;C0264743
312;Fiebre reumática ;391;391;ICD9;Caminal et al (2001);Rheumatic fever with heart involvement;Rheumatic fever with heart involvement;C3536892;C3536892
313;Hipertensión esencial maligna ;401.0;401;ICD9;Caminal et al (2001);Malignant essential hypertension;Essential hypertension;C0024588;C0085580
314;Enfermedad cardíaca hipertensiva maligna con IC ;402.01;402;ICD9;Caminal et al (2001);Malignant hypertensive heart disease with heart failure;Hypertensive heart disease;C1135329;C0152105
315;Enfermedad cardíaca hipertensiva benigna con IC ;402.11;402;ICD9;Caminal et al (2001);Benign hypertensive heart disease with heart failure;Hypertensive heart disease;C1135331;C0152105
316;Enfermedad cardíaca hipertensiva sin especificar con IC ;402.91;402;ICD9;Caminal et al (2001);Unspecified hypertensive heart disease with heart failure;Hypertensive heart disease;C1135333;C0152105
317;Enfermedad renal hipertensiva maligna;403.0;403;ICD9;Caminal et al (2001);Hypertensive chronic kidney disease, malignant;Hypertensive chronic kidney disease;C1719462;C3695318
318;Enfermedad cardíaca y renal hipertensiva maligna ;404.0;404;ICD9;Caminal et al (2001);Hypertensive heart and chronic kidney disease, malignant;Hypertensive heart and chronic kidney disease;C1719468;C1719469
319;Hipertensión secundaria maligna; 405.0;40;ICD9;Caminal et al (2001);ERROR;ERROR;ERROR - atom;ERROR - atom
320;Enfermedad cardíaca isquémica;410;410;ICD9;Caminal et al (2001);Acute myocardial infarction;Acute myocardial infarction;C0155626;C0155626
321;Enfermedad cardíaca isquémica;411;411;ICD9;Caminal et al (2001);Other acute and subacute forms of ischemic heart disease;Other acute and subacute forms of ischemic heart disease;C0340283;C0340283
322;Enfermedad cardíaca isquémica;412;412;ICD9;Caminal et al (2001);Old myocardial infarction;Old myocardial infarction;C0155668;C0155668
323;Enfermedad cardíaca isquémica;413;413;ICD9;Caminal et al (2001);Angina pectoris;Angina pectoris;C0002962;C0002962
324;Enfermedad cardíaca isquémica;414;414;ICD9;Caminal et al (2001);Other forms of chronic ischemic heart disease;Other forms of chronic ischemic heart disease;C0155669;C0155669
325;Fallo cardíaco ;428;428;ICD9;Caminal et al (2001);Heart failure;Heart failure;C0018801;C0018801
326;Enfermedad cerebrovascular;430;430;ICD9;Caminal et al (2001);Subarachnoid hemorrhage;Subarachnoid hemorrhage;C0038525;C0038525
327;Enfermedad cerebrovascular;431;431;ICD9;Caminal et al (2001);Intracerebral hemorrhage;Intracerebral hemorrhage;C2937358;C2937358
328;Enfermedad cerebrovascular;436;436;ICD9;Caminal et al (2001);Acute, but ill-defined, cerebrovascular disease;Acute, but ill-defined, cerebrovascular disease;C0001365;C0001365
329;Enfermedad cerebrovascular;437.2;437;ICD9;Caminal et al (2001);Hypertensive encephalopathy;Other and ill-defined cerebrovascular disease;C0151620;C0155729
330;Absceso peritonsilar;475;475;ICD9;Caminal et al (2001);Peritonsillar abscess;Peritonsillar abscess;C0031157;C0031157
331;Neumonía debida a hemófilo ;482.2;482;ICD9;Caminal et al (2001);Pneumonia due to Hemophilus influenzae [H. influenzae];Other bacterial pneumonia;C0276026;C0155858
332;Neumonía debida a estreptococos ;482.3;482;ICD9;Caminal et al (2001);Pneumonia due to Streptococcus;Other bacterial pneumonia;C0155862;C0155858
333;Neumonía debida a otro organismo especificado ;483;483;ICD9;Caminal et al (2001);Pneumonia due to other specified organism;Pneumonia due to other specified organism;C0032287;C0032287
334;Bronconeumonía/neumonía, por organismo sin especificar ;485;485;ICD9;Caminal et al (2001);Bronchopneumonia, organism unspecified;Bronchopneumonia, organism unspecified;C0006285;C0006285
335;Bronconeumonía/neumonía, por organismo sin especificar ;486;486;ICD9;Caminal et al (2001);Pneumonia, organism unspecified;Pneumonia, organism unspecified;C0339951;C0339951
336;Edema agudo de pulmón, sin especificar ;518.4;518;ICD9;Caminal et al (2001);Acute edema of lung, unspecified;Other diseases of lung;C0155919;C0348712
337;Úlcera gástrica aguda o crónica o no especificada, con hemorragia o con hemorragia y perforación ;531.0;531;ICD9;Caminal et al (2001);Acute gastric ulcer with hemorrhage;Gastric ulcer;C0155967;C0038358
338;Úlcera gástrica aguda o crónica o no especificada, con hemorragia o con hemorragia y perforación ;531.2;531;ICD9;Caminal et al (2001);Acute gastric ulcer with hemorrhage and perforation;Gastric ulcer;C0155973;C0038358
339;Úlcera gástrica aguda o crónica o no especificada, con hemorragia o con hemorragia y perforación ;531.4;531;ICD9;Caminal et al (2001);Chronic or unspecified gastric ulcer with hemorrhage;Gastric ulcer;C0155979;C0038358
340;Úlcera gástrica aguda o crónica o no especificada, con hemorragia o con hemorragia y perforación ;531.6;531;ICD9;Caminal et al (2001);Chronic or unspecified gastric ulcer with hemorrhage and perforation;Gastric ulcer;C0494723;C0038358
341;Úlcera duodenal aguda o crónica o no especificada, con hemorragia o con hemorragia y perforación;532.0;532;ICD9;Caminal et al (2001);Acute duodenal ulcer with hemorrhage;Duodenal ulcer;C0155992;C0013295
342;Úlcera duodenal aguda o crónica o no especificada, con hemorragia o con hemorragia y perforación;532.2;532;ICD9;Caminal et al (2001);Acute duodenal ulcer with hemorrhage and perforation;Duodenal ulcer;C0155998;C0013295
343;Úlcera duodenal aguda o crónica o no especificada, con hemorragia o con hemorragia y perforación;532.4;532;ICD9;Caminal et al (2001);Chronic or unspecified duodenal ulcer with hemorrhage;Duodenal ulcer;C0156004;C0013295
344;Úlcera duodenal aguda o crónica o no especificada, con hemorragia o con hemorragia y perforación;532.6;532;ICD9;Caminal et al (2001);Chronic or unspecified duodenal ulcer with hemorrhage and perforation;Duodenal ulcer;C0494726;C0013295
345;Úlcera péptica, sitio no especificado, aguda o crónica o no especificada, con hemorragia o con hemorragia y perforación ;533.0;533;ICD9;Caminal et al (2001);Acute peptic ulcer of unspecified site with hemorrhage;Peptic ulcer, site unspecified;C0267288;C0030920
346;Úlcera péptica, sitio no especificado, aguda o crónica o no especificada, con hemorragia o con hemorragia y perforación ;533.2;533;ICD9;Caminal et al (2001);Acute peptic ulcer of unspecified site with hemorrhage and perforation;Peptic ulcer, site unspecified;C0267294;C0030920
347;Úlcera péptica, sitio no especificado, aguda o crónica o no especificada, con hemorragia o con hemorragia y perforación ;533.4;533;ICD9;Caminal et al (2001);Chronic or unspecified peptic ulcer of unspecified site with hemorrhage;Peptic ulcer, site unspecified;C0494730;C0030920
348;Úlcera péptica, sitio no especificado, aguda o crónica o no especificada, con hemorragia o con hemorragia y perforación ;533.6;533;ICD9;Caminal et al (2001);Chronic or unspecified peptic ulcer of unspecified site with hemorrhage and perforation;Peptic ulcer, site unspecified;C0494732;C0030920
349;Apendicitis aguda con peritonitis generalizada;540.0;540;ICD9;Caminal et al (2001);Acute appendicitis with generalized peritonitis;Acute appendicitis;C0156092;C0085693
350;Apendicitis aguda con absceso peritoneal;540.1;540;ICD9;Caminal et al (2001);Acute appendicitis with peritoneal abscess;Acute appendicitis;C0156093;C0085693
351;Pielonefritis aguda;590.1;590;ICD9;Caminal et al (2001);Acute pyelonephritis;Infections of kidney;C0520575;C0021313
352;Enfermedad inflamatoria de ovario, trompa de Falopio, tejido celular pélvico y peritoneo;614;614;ICD9;Caminal et al (2001);Inflammatory disease of ovary, fallopian tube, pelvic cellular tissue, and peritoneum;Inflammatory disease of ovary, fallopian tube, pelvic cellular tissue, and peritoneum;C0156326;C0156326
353;Viral infection unspec;79.9;79;ICD9;Sanderson et al (2000);Unspecified operation on bone injury;Reduction of fracture and dislocation;C0185150;C0161946
354;Viralwarts;78.1;78;ICD9;Sanderson et al (2000);Application of external fixator device;Other operations on bones, except facial bones;C1561811;C0161945
355;Diabetes (insulin-dependent);250.0;250;ICD9;Sanderson et al (2000);Diabetes mellitus without mention of complication;Diabetes mellitus;C0271635;C0011849
356;Hypoglycaemia unspec;251.2;251;ICD9;Sanderson et al (2000);Hypoglycemia, unspecified;Other disorders of pancreatic internal secretion;C0020615;C0154189
357;Diabetes (non-insulin·dependent);250.0;250;ICD9;Sanderson et al (2000);Diabetes mellitus without mention of complication;Diabetes mellitus;C0271635;C0011849
358;Iron deficiency anemias;280;280;ICD9;Sanderson et al (2000);Iron deficiency anemias;Iron deficiency anemias;C0162316;C0162316
359;Epilepsy unspec;345.9;345;ICD9;Sanderson et al (2000);Epilepsy, unspecified;Epilepsy and recurrent seizures;C0014544;C1719410
360;Asthma extrinsic;493.0;493;ICD9;Sanderson et al (2000);Extrinsic asthma;Asthma;C0155877;C0004096
361;Asthma unspec;493.9;493;ICD9;Sanderson et al (2000);Asthma, unspecified;Asthma;C0004096;C0004096
362;Dyspepsia and other stomach function disorders;536.8;536;ICD9;Sanderson et al (2000);Dyspepsia and other specified disorders of function of stomach;Disorders of function of stomach;C0013396;C0156084
363;Gastric ulcer unspec w/o haemorrhage or perforation;531.9;531;ICD9;Sanderson et al (2000);Gastric ulcer, unspecified as acute or chronic, without mention of hemorrhage or perforation;Gastric ulcer;C0400806;C0038358
364;Gastritis and duodenitis unspec;535.5 ;535;ICD9;Sanderson et al (2000);ERROR;Gastritis and duodenitis;ERROR - atom;C0267166
365;Constipation;564.0;564;ICD9;Sanderson et al (2000);Constipation;Functional digestive disorders, not elsewhere classified;C0009806;C0302382
366;Dysplasia, mucous pclyp, erosion of cervix;602.0;602;ICD9;Sanderson et al (2000);Calculus of prostate;Other disorders of prostate;C0149525;C0156294
367;Dysplasia, mucous pclyp, erosion of cervix;602.1;602;ICD9;Sanderson et al (2000);Congestion or hemorrhage of prostate;Other disorders of prostate;C0156295;C0156294
368;Dysplasia, mucous pclyp, erosion of cervix;602.7;602;ICD9;Sanderson et al (2000);ERROR;Other disorders of prostate;ERROR - atom;C0156294
369;Cellulitisof face, etc;682.0;682;ICD9;Sanderson et al (2000);Cellulitis and abscess of face;Other cellulitis and abscess;C0157696;C0157695
370;Sebaceous cyst;706.2;706;ICD9;Sanderson et al (2000);Sebaceous cyst;Diseases of sebaceous glands;C0014511;C0036502
